"text","wc","polarity","pos.words","neg.words"
It use to work just fine.,6,0.816496580927726,c("work", "fine"),-
Not user friendly.,3,-0.577350269189626,user friendly,-
Soon as hubby needs a new phone we will say bye bye to att.,14,0,-,-
 Even a 5 year old can make a better app.,9,0.333333333333333,better,-
This may be the end of our years-long relationship.,10,0,-,-
9Wish i could rate it Zero ??????,6,0,-,-
not bad ,2,0.707106781186547,-,bad
Get rid of the CrApple ads.,6,0,-,-
t's been going on for a while and I'm sick of calling.,12,-0.288675134594813,-,sick
Irritating!!,1,-1,-,irritating
I hate this app it's the worst of the worst.,10,-0.948683298050514,-,c("hate", "worst", "worst")
Without a doubt the worst app I have ever used which explains a lot because it came from the worst company I have ever had to do business with...,29,-0.557086014531156,-,c("doubt", "worst", "worst")
I'm going too see if I can file a report too them about these issues.,15,-0.258198889747161,-,issues
This app is hands down the worst thing I've ever used.,11,0,hands down,worst
Super disappointing app from such a good cell provider.,9,0.333333333333333,c("super", "good"),disappointing
10302This new app is not user friendly.user experience1 selected 1,10,0,-,-
10095You claim to be the best but the reality is different...,11,0.301511344577764,best,-
??,0,NaN,-,-
Very dissatisfied!,2,-1.27279220613579,-,dissatisfied
I am not satisfactory,4,-0.5,satisfactory,-
Wastage of time!,3,0,-,-
Cant use it internationally !,4,0,-,-
stupid app,2,-0.707106781186547,-,stupid
Never gonna uss indigo,4,0,-,-
Very Bad ,2,-1.27279220613579,-,bad
They fooled us to show much costly airfare,8,-0.707106781186547,-,c("fooled", "costly")
Even bookings earlier showing disappeared. ,5,0,-,-
What an idiotic app... ,4,-0.5,-,idiotic
So, Worth giving 1 star.,4,0.5,worth,-
this mobile app is atrocious. How the hell did it pass scrutiny?,12,0,-,c("atrocious", "hell")
t's just a waste of time and phone memory installing and using this app.,14,-0.267261241912424,-,waste
I am very irritated.,4,-0.9,-,irritated
Practically not usable.,3,-0.577350269189626,usable,-
Not working well,3,-0.577350269189626,well,-
it sucks,2,-0.707106781186547,-,sucks
terrible,1,-1,-,terrible
what the hell,3,-0.577350269189626,-,hell
pathetic,1,-1,-,pathetic
hate it,2,-0.707106781186547,-,hate
horrible service,2,-0.707106781186547,-,horrible
many issue ,2,-0.707106781186547,-,issue
login has issues,3,-0.577350269189626,-,issues
trouble logging in ,3,-0.577350269189626,-,trouble
cheaters,1,0,-,-
minus ratings,2,0,-,-
fix this problem ,3,-0.577350269189626,-,problem
Wish I could give it negative rating of -10,8,-0.353553390593274,-,negative
what a joke ,3,-0.577350269189626,-,joke
rediculous service,2,0,-,-
Used to be good, use BA all the time, but cannot pick seats, cannot upgrade as all end in a blank white screen. Are they trying to lose money and customers?,31,0,good,lose
Does the job,3,0,-,-
Does what you want.,4,0,-,-
totally ineffective,2,-0.707106781186547,-,ineffective
 BAjet is racing to the bottom !,6,0,-,-
Used to work perfectly.,4,1,c("work", "perfectly"),-
without perfection,2,0.707106781186547,perfection,-
idiotic app ,2,-0.707106781186547,-,idiotic
shameful for the company ,4,-0.5,-,shameful
hey cancelled my booking without any information & they refunded my money after deducting insurance.,14,0.267261241912424,refunded,-
I will never choose go air again..,7,0,-,-
Complete wastage of time.,4,0,-,-
Look like fake app.,4,0,like,fake
Really money minded people..,4,0,-,-
he app looks like hacked together by a couple of students using assets drawn in Paint,16,0.25,like,-
It allows me to get cheap airline tickets,8,-0.353553390593274,-,cheap
 Not at all helpful for users.,6,-0.408248290463863,helpful,-
 You people have made a joke of your application. ,9,-0.333333333333333,-,joke
still no luck ,3,-0.577350269189626,luck,-
 It is strongly recommended to not book through go air as god knows when your flight will be non operational, denied boarding etc.,23,-0.41702882811415,recommended,denied
Don't book early in goair flight because they can cancel the flight at any time without any reason.,18,0,-,-
Go Air must explain/apologise/compensate for such fraudulent and unethical business practice,13,-0.554700196225229,-,c("fraudulent", "unethical")
wake up guys ,3,0,-,-
 The ground staff thinks that we are fool.,8,-0.353553390593274,-,fool
Rating in negative.,3,-0.577350269189626,-,negative
Mobile app is classic..,4,0.5,classic,-
dont deserve any rating,4,0,-,-
would rate 0,2,0,-,-
This app is too good without errors,7,0,good,errors
 Or success has gone into your head...,7,0.377964473009227,success,-
I wish I could give one star.,7,0,-,-
app is broken,3,-0.577350269189626,-,broken
The app is neat and works fine,7,1.13389341902768,c("neat", "works", "fine"),-
The airline is great, but the app developer is awful.,10,0,great,awful
Used to be very handy ,5,0.804984471899924,handy,-
